datetime,open,high,low,close,volume
2026-03-12T02:30:00+00:00,46893.65,46901.65,46868.65,46874.15,1145
2026-03-12T02:35:00+00:00,46874.15,46874.65,46799.65,46802.65,1542
2026-03-12T02:40:00+00:00,46802.65,46839.15,46786.15,46832.65,1414
2026-03-12T02:45:00+00:00,46832.65,46843.65,46814.15,46818.15,1225
2026-03-12T02:50:00+00:00,46818.15,46838.65,46804.65,46828.15,1188
2026-03-12T02:55:00+00:00,46828.15,46843.65,46826.65,46835.65,710
2026-03-12T03:00:00+00:00,46835.65,46856.65,46832.15,46848.65,711
2026-03-12T03:05:00+00:00,46848.65,46876.15,46847.65,46863.65,554
2026-03-12T03:10:00+00:00,46863.65,46870.15,46839.15,46845.15,387
2026-03-12T03:15:00+00:00,46845.15,46852.15,46837.65,46848.65,535
2026-03-12T03:20:00+00:00,46848.65,46859.65,46846.65,46854.65,377
2026-03-12T03:25:00+00:00,46854.65,46855.15,46824.65,46831.65,503
2026-03-12T03:30:00+00:00,46831.65,46834.65,46816.15,46816.15,836
2026-03-12T03:35:00+00:00,46816.15,46838.65,46805.65,46806.65,813
2026-03-12T03:40:00+00:00,46806.65,46824.15,46806.15,46816.65,658
2026-03-12T03:45:00+00:00,46816.65,46835.15,46811.65,46822.65,678
2026-03-12T03:50:00+00:00,46822.65,46839.65,46820.65,46833.15,520
2026-03-12T03:55:00+00:00,46833.15,46848.15,46828.65,46846.65,436
2026-03-12T04:00:00+00:00,46846.65,46868.65,46840.65,46868.15,521
2026-03-12T04:05:00+00:00,46868.15,46877.15,46858.15,46859.65,423
2026-03-12T04:10:00+00:00,46859.65,46879.15,46858.15,46876.15,407
2026-03-12T04:15:00+00:00,46876.15,46893.15,46871.15,46892.15,522
2026-03-12T04:20:00+00:00,46892.15,46896.15,46881.15,46884.15,410
2026-03-12T04:25:00+00:00,46884.15,46889.15,46874.15,46887.15,274
2026-03-12T04:30:00+00:00,46887.15,46896.15,46873.15,46878.65,621
2026-03-12T04:35:00+00:00,46878.65,46879.15,46847.15,46859.65,629
2026-03-12T04:40:00+00:00,46859.65,46861.15,46839.15,46840.65,344
2026-03-12T04:45:00+00:00,46840.65,46852.65,46836.15,46837.65,435
2026-03-12T04:50:00+00:00,46837.65,46852.15,46834.65,46848.15,316
2026-03-12T04:55:00+00:00,46848.15,46849.15,46835.15,46835.65,394
2026-03-12T05:00:00+00:00,46835.65,46911.15,46833.65,46887.15,1507
2026-03-12T05:05:00+00:00,46887.15,46916.65,46887.15,46898.65,1372
